Nom;Prenom;Parti
laguiller;arlette;LO
hue;robert;PCF
jospin;lionel;PS
voynet;dominique;Les Verts
balladur;Édouard;RPR
chirac;jacques;RPR
villiers de;philipe;MPF
le pen;jean-marie;FN
cheminade;jacques;FNS
