Nom;Prenom;Parti
joly;Eva;EELV
le pen;Marine;FN
sarkozy;Nicolas;UMP
melenchon;Jean-Luc;FDG
poutou;Philipe;NPA
arthaud;Nathalie;LO
cheminade;Jacques;S&P
bayrou;François;MoDem
dupont-aignan;Nicolas;DLR
hollande;François;PS
