Annee;Reglements de compte entre malfaiteurs;Homicides pour voler et a loccasion de vols;Homicides pour dautres motifs;Tentatives dhomicides pour voler et a loccasion de vols;Tentatives homicides pour dautres motifs;Coups et blessures volontaires suivis de mort;Autres coups et blessures volontaires criminels ou correctionnels;Prises dotages a loccasion de vols;Prises dotages dans un autre but;Sequestrations;Menaces ou chantages pour extorsion de fonds;Menaces ou chantages dans un autre but;Atteintes a la dignite et a la personnalite;Violations de domicile;Vols a main armee contre des etablissements financiers;Vols a main armee contre des etablissements industriels ou commerciaux;Vols a main armee contre des entreprises de transports de fonds;Vols a main armee contre des particuliers a leur domicile;Autres vols a main armee;Vols avec armes blanches contre des etablissements financiers,commerciaux ou industriels;Vols avec armes blanches contre des particuliers a leur domicile;Autres vols avec armes blanches;Vols violents sans arme contre des etablissements financiers,commerciaux ou industriels;Vols violents sans arme contre des particuliers a leur domicile;Vols violents sans arme contre des femmes sur voie publique ou autre lieu public;Vols violents sans arme contre dautres victimes;Cambriolages de locaux dhabitations principales;Cambriolages de residences secondaires;Cambriolages de locaux industriels, commerciaux ou financiers;Cambriolages dautres lieux;Vols avec entree par ruse en tous lieux;Vols a la tire;Vols a letalage;Vols de vehicules de transport avec fret;Vols dautomobiles;Vols de vehicules motorises a 2 roues;Vols a la roulotte;Vols daccessoires sur vehicules a moteur immatricules;Vols simples sur chantier;Vols simples sur exploitations agricoles;Autres vols simples contre des etablissements publics ou prives;Autres vols simples contre des particuliers dans deslocaux prives;Autres vols simples contre des particuliers dans des locaux ou lieux publics;Recels;Proxenetisme;Viols sur des majeur(e)s;Viols sur des mineur(e)s;Harcelements sexuels et autres agressions sexuelles majeurs;Harcelements sexuels et autres agressions sexuelles mineurs;Atteintes sexuelles;Homicides commis contre enfants de moins de 15 ans;Violences, mauvais traitements et abandons denfants;Delits au sujet de la garde des mineurs;Non versement de pension alimentaire;Trafic et revente sans usage de stupefiants;Usage-revente de stupefiants;Usage de stupefiants;Autres infractions a la legislation sur les stupefiants;Delits de debits de boissons et infraction a la reglementation sur lalcool et le tabac;Fraudes alimentaires et infractions a lhygiene;Autres delits contre sante publique et la reglementation des professions medicales;Incendies volontaires de biens publics;Incendies volontaires de biens prives;Attentats a lexplosif contre des biens publics;Attentats a lexplosif contre des biens prives;Autres destructions er degradations de biens publics;Autres destructions er degradations de biens prives;Destructions et degradations de vehicules prives;Infractions aux conditions generales dentree et de sejour des etrangers;Aide a lentree, a la circulation et au sejour des etrangers;Autres infractions a la police des etrangers;Outrages a depositaires autorite;Violences a depositaires autorite;Port ou detention armes prohibees;Atteintes aux interets fondamentaux de la Nation;Delits des courses et des jeux;Delits interdiction de sejour et de paraitre;Destructions, cruautes et autres delits envers les animaux;Atteintes a lenvironnement;Chasse et peche;Faux documents didentite;Faux documents concernant la circulation des vehicules;Autres faux documents administratifs;Faux en ecriture publique et authentique;Autres faux en ecriture;Fausse monnaie;Contrefacons et fraudes industrielles et commerciales;Contrefacons litteraires et artistique;Falsification et usages de cheques voles;Falsification et usages de cartes de credit;Escroqueries et abus de confiance;Infractions a la legislation sur les cheques;Travail clandestin;Emploi detranger sans titre de travail;Marchandage - pret de main doeuvre;Index non utilise;Index non utilise;Banqueroutes, abus de biens sociaux et autres delits de societe;Index non utilise;Index non utilise;Prix illicittes, publicite fausse et infractions aux regles de la concurrence;Achats et ventes sans factures;Infractions a lexercice dune profession reglementee;Infractions au droit de lurbanisme et de la construction;Fraudes fiscales;Autres delits economiques et financiers;Autres delits
_2020_02;8;1;66;10;297;13;23147;12;18;344;1457;10172;5902;1277;3;99;0;47;148;39;71;474;77;154;2578;3603;18689;1695;6438;4000;685;15761;5423;21;8038;3820;23333;7911;1103;444;4848;15213;28706;3605;55;1140;1173;1269;1644;1206;7;5078;2953;871;1259;2220;13326;254;125;24;58;463;2239;6;20;2893;9724;7478;359;354;376;2213;2751;3081;101;9;140;351;246;97;661;315;393;87;800;342;146;21;5466;5678;23165;160;837;326;12;0;0;106;0;0;83;8;138;417;66;1477;11963
_2020_01;8;7;64;23;270;15;25143;13;13;381;1605;10661;5754;1250;5;115;1;51;151;45;54;535;95;182;2933;4205;21265;1572;6744;4594;736;16292;5488;17;8460;3952;24535;7932;1080;482;5476;16669;30350;3693;48;1182;1215;1253;1757;1278;8;5470;2975;1017;1308;2358;13720;265;168;16;52;608;3321;6;11;3104;10763;7829;362;424;378;2301;2929;3281;103;10;139;404;206;89;689;314;401;90;821;358;198;21;5954;6062;24607;197;790;295;7;0;0;158;0;0;56;6;114;371;65;1287;12655
_2019_12;5;4;72;15;265;10;24642;8;12;367;1358;10640;5582;1186;2;104;0;59;169;59;62;473;75;171;2678;3773;23805;1658;6440;4166;728;15548;5004;26;8099;3830;23866;7355;937;459;4905;15841;27645;3869;45;1089;1104;1126;1619;1165;6;4953;2923;743;1058;1851;11394;259;146;26;49;590;3040;6;16;2748;9462;7481;277;297;340;2290;3028;2986;87;9;110;358;217;107;531;233;394;80;702;265;164;8;4915;5829;22672;261;735;190;3;0;0;141;0;0;58;13;114;366;69;830;11706
_2019_11;5;0;81;3;240;14;24888;4;13;408;1564;11075;5958;1402;4;97;0;61;161;63;59;436;87;171;2800;3922;21399;1616;6429;4354;886;15384;5305;22;8448;3800;24049;7753;1141;561;5247;15476;29506;3415;42;1166;1091;1215;1726;1361;5;5778;2708;988;1231;2274;13433;245;161;27;44;440;2203;5;15;2786;9583;7315;400;374;371;2241;3071;3060;80;14;140;355;243;160;658;315;411;81;722;349;215;25;5448;5928;23003;204;878;307;6;0;0;153;0;0;73;19;150;396;68;1063;12162
_2019_10;4;0;82;8;225;17;25735;7;9;396;1557;12234;6301;1476;7;69;1;34;145;54;58;464;87;185;2852;4206;18570;1608;6315;4425;904;14838;5468;21;8426;4506;25580;7733;1285;647;5798;17043;32845;3855;40;1156;1119;1284;1673;1289;9;5604;3279;953;1395;2496;15877;363;180;25;52;437;2387;4;9;3103;10364;7743;406;486;358;2593;3166;3537;95;13;141;396;287;138;727;312;401;99;890;285;192;36;6578;6203;23880;251;915;328;8;0;0;124;0;0;85;13;192;442;75;1440;13438
_2019_09;13;3;73;11;264;19;25861;10;7;366;1395;11748;5834;1405;4;61;2;27;143;44;70;416;54;164;2663;4101;16373;1364;6048;4046;841;12961;4684;17;7540;4325;22105;7202;1124;697;5378;16722;31929;3398;36;1160;996;1250;1480;1332;5;5435;2934;1080;1133;1990;14107;334;169;23;43;512;2498;1;20;3072;9515;7210;384;421;378;2496;3050;3256;117;9;125;414;266;119;569;264;429;89;794;254;216;19;4578;5420;21513;279;826;313;8;0;0;129;0;0;58;11;146;401;70;1282;12319
_2019_08;7;0;68;5;273;11;22431;11;12;319;1075;9629;4614;1333;5;64;2;26;125;60;53;429;72;149;2496;3821;18696;1648;5838;4573;743;12576;4317;14;6922;4121;21452;6800;837;703;5118;17824;32277;3024;35;989;828;1065;1187;1262;8;3293;2566;800;956;1614;12523;306;131;54;22;574;2507;6;17;2941;9351;6678;319;352;347;2356;2825;2746;79;9;113;467;278;108;564;229;335;56;591;186;116;20;4480;5077;19769;200;643;197;2;0;0;100;0;0;71;8;124;406;25;902;10852
_2019_07;20;7;82;15;258;17;25471;7;13;340;1168;11001;5520;1534;4;75;1;36;131;63;50;407;69;156;3031;4512;17161;1867;6045;4879;828;14672;4705;15;7856;5195;23193;7490;1372;766;6468;19550;36619;3437;63;1116;1041;1446;1500;1411;4;3906;2223;866;1057;2020;13520;283;152;15;40;851;3888;6;10;3897;10801;7772;355;370;308;2648;3519;2796;120;18;123;470;341;114;531;264;375;86;782;222;246;32;5273;5920;22685;197;824;245;1;0;0;164;0;0;129;20;124;384;56;1044;12517
_2019_06;8;1;61;12;272;13;23278;20;19;340;1160;9951;5533;1418;4;66;0;37;141;50;52;355;53;146;2906;4084;15614;1647;5779;4960;689;14444;4469;18;7653;5120;21265;7433;1139;712;5245;17225;33168;3736;38;919;986;1186;1610;1372;8;4965;2668;923;1032;2142;13671;252;134;22;42;564;2343;7;12;3358;9805;7379;294;372;313;2491;3106;2778;117;8;101;369;256;119;538;245;408;71;726;202;194;29;5591;5304;19709;224;804;265;5;0;0;106;0;0;62;14;147;359;53;1026;11564
_2019_05;5;1;66;8;215;18;22728;8;11;333;1240;10310;5887;1295;1;78;0;47;134;48;43;355;61;147;2558;3437;16048;1643;5870;5268;656;12493;5077;18;7528;4961;21694;7728;1223;779;5591;16520;29731;3685;44;858;1020;1091;1604;1262;3;5137;2496;983;1213;2140;14929;313;176;25;36;537;2430;4;14;3333;10075;7606;378;377;321;2673;3327;3363;94;9;154;339;301;107;600;301;376;75;768;185;165;38;5525;5295;20802;175;825;262;7;0;0;158;0;0;68;14;147;401;49;1048;12169
_2019_04;2;5;74;13;237;13;21267;16;17;325;1310;9632;5514;1225;4;86;1;46;129;45;50;357;73;152;2597;3548;16808;1723;5948;4933;647;13701;5140;24;7747;4382;21784;7915;1175;738;5367;15721;29473;3494;57;890;1068;1039;1614;1280;7;4761;2791;966;1165;2261;15396;319;152;18;44;573;2525;1;16;3222;10132;7213;467;493;322;2519;3138;3088;127;15;139;322;308;129;650;290;371;75;765;158;204;40;5483;5638;20814;271;880;318;12;0;0;149;0;0;88;14;146;395;33;967;12205
_2019_03;17;7;73;6;235;12;22693;16;12;363;1305;10377;5943;1258;8;105;1;45;138;46;57;422;66;149;2870;3741;18632;1737;6087;4978;701;14295;5785;14;8289;4285;23164;8267;1256;665;5585;16414;30767;3924;55;907;1143;1146;1805;1383;9;5426;2784;1189;1109;2195;16623;266;158;24;65;634;2719;4;25;3404;10639;7910;383;408;352;2801;3695;3548;142;14;133;309;296;172;683;297;427;87;794;173;354;35;5329;5791;22122;349;994;280;6;0;0;163;0;0;89;13;179;432;58;851;13347
_2019_02;6;2;51;12;161;4;18941;6;15;319;1412;8979;4771;1129;4;91;2;53;123;40;65;348;69;145;2775;3493;18141;1646;5535;4459;609;13419;5450;27;7345;3501;21373;7236;1142;458;4945;14587;27687;3208;26;801;889;983;1421;1128;3;4209;2648;931;1067;1976;13991;267;152;23;60;561;2475;2;15;2984;9739;7090;414;380;324;2243;3095;2936;92;11;95;312;227;116;612;269;398;65;787;154;346;20;5183;5319;20904;221;820;268;8;0;0;130;0;0;78;15;147;360;61;747;11650
_2019_01;6;5;65;6;232;16;20767;12;7;335;1587;9599;5165;1165;9;102;3;42;149;44;56;421;76;157;3011;3785;20883;1715;5923;4780;666;13995;5852;25;8420;3459;23025;7665;1026;548;5541;16024;29402;3690;32;905;1094;1027;1598;1241;6;4651;2705;1092;1180;2299;15180;234;152;24;48;905;3448;9;20;3441;11161;7439;372;441;390;2397;3499;3401;134;7;114;304;242;139;672;255;434;81;819;153;187;43;6326;5893;22495;271;842;288;8;0;0;110;0;0;82;12;172;453;44;762;13115
_2018_12;12;2;56;7;250;17;20362;12;12;320;1232;9035;4660;1107;6;118;2;46;170;84;62;457;93;174;3010;3877;24589;1847;6207;4730;648;14150;5169;30;8416;3475;22962;7389;906;521;5215;15222;28333;3662;38;818;831;948;1480;1059;8;4205;2908;859;848;1624;11103;256;107;22;38;1382;4301;8;21;3929;11156;8439;321;315;329;2841;5027;3407;145;13;81;233;211;134;512;210;325;61;727;133;207;23;5665;5508;18480;227;737;198;6;0;0;135;0;0;79;9;152;372;59;602;14094
_2018_11;7;2;47;7;194;18;21886;7;11;344;1287;9548;5511;1324;9;93;1;41;151;60;57;450;97;145;2897;3673;20731;1597;6175;4636;661;12870;5572;20;8189;3815;23320;8260;1206;685;5815;15807;29660;3585;50;852;976;1110;1488;1211;3;4756;2650;1037;1082;2215;14594;272;150;23;48;690;2706;5;18;3771;10144;8135;407;411;380;2381;3131;3094;112;17;98;359;225;125;595;285;418;86;820;134;140;46;5704;5566;21718;265;913;255;8;0;0;146;0;0;96;14;187;413;42;984;11936
_2018_10;8;0;52;12;210;16;22649;4;16;379;1301;10402;5631;1356;2;83;0;44;139;51;58;393;85;135;2871;3976;17551;1648;5934;4607;790;12277;5465;17;8790;4467;24027;8417;1396;752;6232;17191;32477;4029;42;920;901;1255;1552;1252;3;4890;3203;1200;1224;2403;16850;357;177;25;46;589;2530;3;14;3191;10376;8156;424;473;437;2402;2999;3357;100;13;128;377;286;147;687;298;395;93;900;143;210;44;5381;5416;21819;258;1019;301;5;0;0;175;0;0;85;17;210;432;67;1052;12409
_2018_09;6;1;65;17;257;15;22417;11;7;360;1152;9991;5048;1293;5;75;0;38;120;49;58;368;80;161;2866;3994;16453;1342;5416;4153;710;11598;4558;14;8077;4409;21999;7525;1045;710;5991;16897;31412;3498;28;841;806;1157;1373;1305;8;4370;2928;1106;998;1930;15453;303;133;38;53;473;2449;6;15;2951;9325;7483;491;414;360;2237;2750;3166;115;14;89;379;275;168;597;281;378;72;724;149;154;33;5279;4575;19752;187;868;308;7;0;0;129;0;0;79;19;163;414;65;934;11445
_2018_08;9;3;66;8;232;17;21094;11;8;322;1056;9416;4498;1379;5;93;0;39;120;58;63;327;72;162;2940;3822;19605;1740;5654;4640;823;11917;4528;12;7233;4157;22429;7422;853;785;5588;19117;33336;3317;27;864;757;1091;1198;1229;4;2952;2287;873;873;1679;13827;318;104;54;44;443;2419;0;14;2816;8871;6373;425;247;406;2225;2639;2822;86;8;90;433;312;140;444;239;333;76;668;148;137;10;5228;4150;17927;222;706;195;6;0;0;124;0;0;62;9;125;333;40;921;10701
_2018_07;4;2;62;6;230;26;24231;5;10;329;1160;10423;5153;1483;8;81;3;44;123;50;49;376;70;191;3435;4685;18049;1746;5729;4755;898;15372;4454;20;8279;5183;23294;7815;1204;770;6124;19687;37619;3423;41;953;916;1337;1399;1310;4;3516;2522;926;902;1860;13700;315;141;19;63;704;4273;4;21;3343;9572;7608;351;353;413;2409;3254;2696;110;10;112;453;316;113;514;231;345;76;751;134;240;34;5455;4659;18369;316;858;235;6;0;0;152;0;0;89;14;152;346;49;875;11026
_2018_06;14;1;61;5;251;14;23579;16;12;372;1149;10595;5732;1309;9;57;0;44;100;38;65;374;60;178;3172;3994;16452;1657;5515;4950;835;12346;4916;10;8049;5270;23165;8097;1289;658;6169;18267;32995;3753;60;902;988;1143;1668;1424;11;5199;2728;1094;1039;2344;14972;354;149;21;71;425;2447;4;7;3058;9007;7006;424;410;410;2506;3001;3033;89;10;82;376;244;129;550;262;382;75;823;155;158;25;5194;4046;18256;240;873;257;19;0;0;169;0;0;70;18;174;370;62;998;11277
_2018_05;10;1;53;12;221;24;22293;7;8;361;1139;9890;5056;1276;3;58;2;32;118;46;47;369;69;165;2881;3738;16282;1726;5768;5259;754;11150;4954;22;8420;4724;23037;8427;1112;739;5512;17205;29912;3591;30;815;879;1067;1370;1363;3;4831;2499;1045;1087;2045;14652;294;108;35;71;421;2379;4;8;3057;9077;7097;427;389;384;2473;3021;3007;102;12;102;376;232;163;537;293;373;63;680;163;174;23;5464;4484;16786;249;838;276;6;0;0;133;0;0;83;14;149;346;42;991;11329
_2018_04;14;7;71;6;202;19;20645;3;2;389;1106;9165;4932;1198;7;84;1;44;132;36;43;363;87;148;2932;3514;15755;1666;5396;4594;676;11792;4972;20;8100;4060;22439;8062;1049;698;5401;15737;27771;3804;44;751;890;1042;1357;1208;8;4444;2823;1033;990;2053;16193;314;120;23;85;417;2392;1;4;3153;9960;7665;381;390;368;2330;2861;2972;96;15;111;396;246;148;546;284;435;77;692;175;290;34;5464;4818;17780;237;932;313;13;0;0;149;0;0;75;22;151;425;32;842;11115
_2018_03;10;4;49;10;210;10;20863;6;5;374;1211;9484;5316;1103;8;102;4;49;133;49;86;404;78;176;2968;3508;18669;1855;5916;5011;725;12498;6097;15;8669;3377;21797;8613;1182;611;5609;15887;28913;3985;42;803;872;1094;1533;1284;8;4831;2708;1189;1145;2496;17557;328;167;28;117;347;2144;3;11;2894;9537;7555;505;443;376;2388;2943;3365;110;19;91;347;263;93;636;303;441;90;863;208;160;27;6952;5025;20374;382;1039;334;4;0;0;155;0;0;97;15;150;471;62;940;11695
_2018_02;7;4;48;8;180;12;17171;4;6;355;976;7769;4453;934;5;100;1;49;128;55;59;391;75;148;2554;3136;16887;1539;5058;4179;673;11036;5284;12;7683;2765;19456;7217;997;485;4999;13635;25276;3272;47;774;782;949;1318;1023;7;3926;2562;1089;957;1894;14509;295;128;52;189;346;1863;4;7;2697;7811;6103;459;385;386;1897;2369;2873;112;6;90;300;190;124;556;322;360;67;706;138;200;34;7191;4575;18388;275;875;273;9;0;0;143;0;0;76;15;116;384;45;719;9888
_2018_01;12;6;59;24;214;12;19950;7;4;380;1188;8721;4858;1098;5;116;2;68;182;68;64;432;95;130;3320;3762;20724;1705;6086;4664;737;12310;5440;16;8716;3525;23280;8253;975;489;5623;15604;28418;3663;42;748;826;962;1351;1141;3;4398;2667;1103;986;2273;16027;291;127;67;311;466;2764;0;10;3116;9280;7429;444;372;377;2161;2836;3087;143;12;83;308;186;116;587;336;405;66;765;178;284;72;6704;5227;19950;300;881;304;10;0;0;165;0;0;89;28;119;413;44;808;11311
_2017_12;8;2;72;14;218;14;19147;5;4;349;1109;8135;4477;1076;12;130;1;52;182;52;66;428;100;177;2849;3543;25432;1675;5780;4933;712;12018;5688;25;8294;3433;22090;7474;881;560;5502;15269;27862;3518;35;694;767;920;1342;922;10;4121;2723;882;887;2118;13744;329;117;20;330;411;2654;3;2;2460;8367;7203;359;290;295;1979;2518;2575;100;11;64;300;205;120;514;257;380;55;705;174;235;26;5959;5181;18833;224;802;177;12;0;0;163;0;0;78;18;116;357;40;803;10405
_2017_11;9;3;81;4;176;19;20320;11;8;375;1227;9085;4887;1172;12;114;0;52;175;63;75;412;76;182;3274;3940;23814;1794;6133;5175;810;11945;5942;27;8978;4125;23764;8675;1183;659;5881;16826;30375;4019;46;757;894;1057;1499;1099;1;4594;2455;1095;1009;2063;15845;315;128;32;560;522;2361;1;9;3176;8963;7204;503;416;329;2112;2625;3202;118;20;85;338;225;159;604;328;415;98;780;182;307;25;6702;5829;20341;335;855;245;14;0;0;127;0;0;85;15;131;469;43;917;11596
_2017_10;6;0;58;5;220;13;22007;6;9;392;1243;9686;5119;1287;5;104;3;56;183;57;54;489;76;184;3397;4198;19691;1761;6053;5194;760;12298;5450;17;9263;5030;24562;8779;1310;688;6381;17803;33300;4041;40;857;791;1165;1335;1287;3;4598;2938;1165;1013;2090;16717;391;166;34;916;520;2729;3;8;3195;9201;8038;596;469;320;2225;2924;3276;138;23;89;412;262;171;651;351;451;84;815;196;373;25;5857;5291;19888;371;1001;301;11;0;0;155;0;0;86;14;126;397;48;1068;12070
_2017_09;3;3;52;11;225;8;19936;5;2;350;1017;8793;4340;1206;1;81;2;41;144;50;58;432;61;183;3196;3993;17972;1533;5660;4828;728;10549;4847;22;8741;4470;22110;7807;1078;676;5831;17420;30887;3475;31;731;712;881;1049;1083;8;3836;2932;1165;907;1824;15689;334;140;61;106;446;2350;3;4;2828;8678;7551;399;399;268;2053;2550;3065;109;17;81;368;249;169;596;358;364;88;746;189;193;16;6563;4479;18214;301;893;273;9;0;0;130;0;0;86;15;121;364;43;900;11014
_2017_08;8;3;67;6;218;21;18886;4;4;294;979;8339;3599;1174;4;91;1;56;150;46;46;372;75;198;3170;3993;21013;1770;5749;5357;732;11294;4739;14;7954;4521;23135;7831;829;786;5626;19376;33242;3155;25;714;619;867;952;1092;3;2522;2433;898;779;1531;14190;384;102;16;20;560;2591;0;7;3102;8871;6979;293;271;221;2024;2576;2509;130;15;81;381;315;128;468;324;310;52;600;222;82;22;6153;4626;18011;211;716;188;8;0;0;123;0;0;67;13;131;269;40;756;10098
_2017_07;9;2;75;5;238;10;20846;8;6;327;1076;9043;4188;1196;4;109;1;56;117;50;62;412;79;172;3581;4265;19060;1904;6116;5481;748;12999;4703;13;9281;5346;24294;8577;1103;740;5892;19838;35740;3300;21;778;689;913;1034;1095;5;3055;2308;932;807;1849;13934;423;137;19;29;671;3352;4;9;3316;9390;7494;259;370;183;2273;2905;2534;111;27;89;355;310;157;456;309;388;66;682;239;142;21;5530;4766;18216;283;814;209;4;0;0;140;0;0;72;18;123;346;65;830;10351
_2017_06;8;4;55;6;224;9;22676;5;6;381;1087;10382;5085;1307;6;90;1;44;114;55;51;385;80;146;3667;4184;17048;1726;5733;5549;728;11919;4768;18;8593;5803;22743;8160;1143;791;6162;19567;35469;3883;39;724;776;935;1319;1239;1;4632;2548;1098;958;2469;15068;335;124;25;41;598;2368;5;14;3621;9771;7543;288;409;302;2449;3117;2739;96;30;98;440;186;114;586;364;424;70;734;217;199;14;6018;4390;18513;313;983;259;6;0;0;135;0;0;70;18;139;360;55;923;11114
_2017_05;8;4;52;12;200;14;20414;7;4;344;1108;9018;4606;1177;10;115;1;57;112;59;63;447;81;164;3447;4053;17337;1838;6368;5883;818;11941;4859;22;8990;5011;23445;9137;1201;813;5810;18045;32424;3624;44;692;862;848;1277;1276;6;4263;2356;1010;886;2070;15869;327;126;26;27;489;2599;5;13;3300;9454;7794;308;387;263;2365;2905;2971;113;24;75;371;206;143;537;360;414;77;678;190;244;32;6188;4781;17490;261;958;283;5;0;0;120;0;0;74;11;123;318;58;908;10848
_2017_04;2;6;76;4;208;10;18188;7;10;288;1083;8085;3914;1010;6;112;2;47;141;56;48;414;97;134;3254;3781;17184;1920;5473;5650;747;11825;4741;19;9052;4788;22102;8775;1009;764;5173;16311;29449;3280;30;617;702;709;1143;1068;1;3709;2430;977;740;1896;14216;269;109;12;39;604;2667;6;11;3013;9054;7187;287;299;239;2028;2452;2640;87;12;94;342;188;172;538;316;336;77;641;194;124;30;4779;4589;15984;241;814;239;10;0;0;119;0;0;62;11;114;339;49;689;10013
_2017_03;14;2;56;13;228;12;20745;6;1;379;1254;9413;4962;1045;9;167;5;65;176;60;58;444;92;168;3688;4355;19808;1977;6327;5803;776;13056;5887;21;9296;4473;23477;9819;1206;660;6183;17303;32478;4210;33;753;835;822;1473;1276;7;5056;2691;1311;1050;2186;17459;305;117;27;35;498;2537;5;5;3225;9918;7891;385;382;273;2438;2854;3205;101;21;98;328;219;102;646;416;420;83;801;233;132;54;7414;5300;20373;474;1093;289;14;0;0;196;0;0;95;7;122;406;63;745;11676
_2017_02;15;4;51;5;168;10;17404;3;8;295;1154;7851;3901;933;4;148;2;55;135;65;66;412;90;151;3345;3508;18716;1755;5664;5159;678;11583;5284;23;8254;3587;21041;8433;1068;549;5422;14758;27775;3203;28;629;673;665;1069;899;4;3460;2658;1097;809;1907;14119;283;103;19;27;504;2656;2;8;2660;8815;6536;337;378;199;1996;2491;2693;113;25;77;264;173;84;543;318;398;73;674;206;136;21;6082;4795;17498;306;862;232;6;0;0;142;0;0;70;15;135;350;45;661;9881
_2017_01;10;6;61;24;165;15;18749;6;6;322;1121;8570;4340;933;10;147;3;76;171;74;65;425;82;171;3601;3881;20975;1731;5718;5027;647;12519;5570;14;9076;3627;21960;8619;904;602;5882;15482;28452;3728;35;640;734;738;1192;991;10;3899;2790;1219;904;2114;15221;311;130;27;43;420;2682;3;12;2553;8851;6920;359;385;224;1988;2669;2902;99;4;77;333;182;123;712;352;405;69;761;177;97;27;7280;5029;19111;452;946;305;10;0;0;120;0;0;77;11;115;381;48;764;10422
_2016_12;8;4;69;13;189;17;17903;8;4;328;1079;8061;3876;925;9;215;5;69;200;73;72;514;120;181;3728;4112;25559;1744;6315;5505;642;13244;5923;35;9066;4393;22783;8305;948;607;5757;15891;29460;3640;41;599;682;667;1101;849;5;3478;3108;1033;788;1914;13458;303;88;23;38;433;2665;2;5;2422;8993;7067;299;347;176;1806;2291;2579;94;22;52;279;194;151;538;277;379;69;699;190;143;27;7041;5437;18454;421;924;164;16;0;0;147;0;0;66;18;112;349;49;582;9869
_2016_11;9;2;50;7;202;14;19047;10;6;355;1209;8433;4374;1045;5;135;4;61;160;77;51;491;104;165;3601;4204;23873;1740;6572;5408;751;13063;5718;27;9917;4821;25040;9371;1180;677;5879;16163;29976;3721;30;604;744;752;1138;970;4;3982;2414;1136;830;1966;13295;332;101;32;38;401;2345;3;6;2795;8988;7140;270;402;183;1792;2272;2696;109;15;67;340;222;179;585;310;454;69;722;197;107;36;6699;5727;18867;436;959;238;14;0;0;157;0;0;70;15;106;418;55;482;10038
_2016_10;4;2;51;7;220;16;19515;8;6;340;1194;9036;4302;1192;10;131;2;74;154;62;49;471;77;169;3572;4332;18795;1631;5936;5244;723;12363;5304;27;9911;5328;24654;9312;1189;809;5809;17279;31890;3693;29;744;673;801;1131;1025;2;3702;2929;1194;783;1816;14778;398;121;52;28;443;2564;4;17;2681;9164;7581;318;388;232;2124;2570;2821;135;17;77;368;185;159;541;341;419;84;757;245;99;30;5151;4996;18205;379;1016;234;8;0;0;148;0;0;77;17;160;420;54;598;10535
_2016_09;11;5;44;9;214;17;20986;5;10;368;1170;9879;4333;1176;4;93;1;51;165;47;60;470;72;186;3516;4451;17863;1470;5793;4805;779;11499;4947;20;9048;5186;22113;8361;1144;862;6124;18163;32516;3597;37;720;673;842;1175;1273;6;3835;2841;1259;819;1786;15415;352;130;92;43;510;2447;2;6;2818;9064;7215;382;351;227;2158;2632;3268;110;17;80;403;182;129;550;380;407;75;770;241;84;48;6299;4808;18560;327;1003;295;6;0;0;110;0;0;66;20;147;326;58;781;10985
_2016_08;4;4;69;3;214;11;18485;4;6;296;1017;8476;3507;1113;20;129;2;60;169;47;41;427;85;145;3486;4322;20426;1713;5723;5067;736;11574;4664;13;8020;4832;22699;8253;811;790;5708;19175;34334;2998;20;661;621;745;1024;1031;2;2354;2257;931;660;1341;13213;397;105;21;28;515;2501;2;5;2886;8806;6546;358;275;196;1987;2477;2486;106;12;59;377;222;110;445;302;325;70;646;222;76;18;5291;4599;17071;312;756;174;7;0;0;88;0;0;54;12;112;304;28;761;9399
_2016_07;3;5;163;11;271;14;19539;6;2;344;1042;9246;3792;1094;6;127;1;56;161;40;47;475;85;161;3883;4394;18416;1765;5936;5387;704;13630;4474;17;9225;5647;23869;8620;1035;781;5786;19261;35391;3242;35;623;602;876;1029;1038;8;2429;2405;943;642;1468;12189;389;119;17;35;679;3535;3;10;3307;9186;7144;335;302;189;2273;2918;2567;144;16;77;342;226;123;426;291;365;62;602;194;92;32;4989;4628;16384;257;832;177;8;0;0;132;0;0;61;6;144;293;53;824;9810
_2016_06;6;1;85;11;167;15;20915;6;5;350;1205;9887;4541;1050;6;95;1;56;133;45;43;440;90;145;3725;4289;16431;1729;5920;6010;667;12821;5251;19;9316;6183;22830;8987;1157;779;6350;18681;33939;4011;33;642;736;797;1209;1117;10;3980;2342;1150;841;2431;14883;315;118;39;40;467;2328;0;13;3411;9818;7552;654;399;234;2527;2973;3001;103;10;78;346;222;120;540;317;441;76;780;189;137;16;6157;4939;17749;322;1020;232;16;0;0;189;0;0;88;24;198;364;52;962;10649
_2016_05;5;2;53;16;186;21;19745;2;2;341;1203;8599;4295;1019;7;137;0;50;132;65;53;477;79;159;3811;4147;17108;1784;6460;6316;663;11962;5256;18;9468;5362;23767;9811;1107;897;6220;18088;31300;3635;33;643;706;809;1188;1159;10;3931;2460;1196;874;1923;15891;342;130;13;39;482;2395;3;7;3402;9678;7787;636;381;257;2280;2830;2979;112;13;78;363;246;154;494;319;435;69;683;194;208;24;5558;4788;16693;341;1031;270;10;0;0;119;0;0;71;21;148;431;55;748;10543
