Code du departement;Libelle du departement;Code de la circonscription;Libelle de la circonscription;Inscrits;Abstentions;Votants;Blancs et nuls;Exprimes;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix;Nuance Liste;Libelle Abrege Liste;Nom Tete de Liste;Voix
3;ALLIER;2;2eme circonscription;65405;36662;28743;1290;27453;LXG;Liste Extreme gauche;LECLERC;778;LXG;Liste Extreme gauche;MAILLOT;257;LPC;Liste du Parti communiste;GENESTE;4239;LPS;Liste du Parti socialiste;GUY-QUINT;8462;LVE;Liste des Verts;NORMAND;1306;LCP;Liste Chasse-Peche-Nature et Traditions;LAVERGNE;458;LDV;Liste Divers;VILLELE DE ;2;LDV;Liste Divers;VELASQUE;534;LDV;Liste Divers;MORGILLO;0;LDV;Liste Divers;GAUDRY;50;LDV;Liste Divers;TALON;325;LDV;Liste Divers;TONNIEAU;42;LUMP;Liste Union pour un Mouvement Populaire;HORTEFEUX;4958;LUDF;Liste Union pour la democratie francaise;FOURTOU;2439;LDD;Liste Divers droite;PELTIER;1571;LDD;Liste Divers droite;LE BAUZEC;0;LFN;Liste Front National;VERDON;1932;LXD;Liste Extreme droite;JAFFRES;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;ALLIER;3;3eme circonscription;69745;35798;33947;1557;32390;LXG;Liste Extreme gauche;LECLERC;786;LXG;Liste Extreme gauche;MAILLOT;270;LPC;Liste du Parti communiste;GENESTE;5882;LPS;Liste du Parti socialiste;GUY-QUINT;7776;LVE;Liste des Verts;NORMAND;1788;LCP;Liste Chasse-Peche-Nature et Traditions;LAVERGNE;793;LDV;Liste Divers;VILLELE DE ;5;LDV;Liste Divers;VELASQUE;621;LDV;Liste Divers;MORGILLO;0;LDV;Liste Divers;GAUDRY;83;LDV;Liste Divers;TALON;431;LDV;Liste Divers;TONNIEAU;48;LUMP;Liste Union pour un Mouvement Populaire;HORTEFEUX;6347;LUDF;Liste Union pour la democratie francaise;FOURTOU;2829;LDD;Liste Divers droite;PELTIER;1964;LDD;Liste Divers droite;LE BAUZEC;0;LFN;Liste Front National;VERDON;2633;LXD;Liste Extreme droite;JAFFRES;134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;ALLIER;4;4eme circonscription;62382;34273;28109;1240;26869;LXG;Liste Extreme gauche;LECLERC;575;LXG;Liste Extreme gauche;MAILLOT;276;LPC;Liste du Parti communiste;GENESTE;1871;LPS;Liste du Parti socialiste;GUY-QUINT;7551;LVE;Liste des Verts;NORMAND;1581;LCP;Liste Chasse-Peche-Nature et Traditions;LAVERGNE;423;LDV;Liste Divers;VILLELE DE ;5;LDV;Liste Divers;VELASQUE;535;LDV;Liste Divers;MORGILLO;1;LDV;Liste Divers;GAUDRY;67;LDV;Liste Divers;TALON;353;LDV;Liste Divers;TONNIEAU;46;LUMP;Liste Union pour un Mouvement Populaire;HORTEFEUX;5610;LUDF;Liste Union pour la democratie francaise;FOURTOU;3068;LDD;Liste Divers droite;PELTIER;1904;LDD;Liste Divers droite;LE BAUZEC;1;LFN;Liste Front National;VERDON;2870;LXD;Liste Extreme droite;JAFFRES;132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;ALPES DE HAUTE PROVENCE;1;1ere circonscription;55549;29753;25796;975;24821;LXG;Liste Extreme gauche;VACHETTA;724;LXG;Liste Extreme gauche;MIRGUET;250;LPC;Liste du Parti communiste;GOMEZ;1604;LPS;Liste du Parti socialiste;ROCARD;7857;LVE;Liste des Verts;BENNAHMIAS;1787;LRG;Liste regionaliste;ANTHOINE;0;LCP;Liste Chasse-Peche-Nature et Traditions;VIDAL-DAUMAS;1064;LDV;Liste Divers;AUDIC;0;LDV;Liste Divers;KERDO;0;LDV;Liste Divers;GOVERNATORI;461;LDV;Liste Divers;FRAYSSE ;0;LDV;Liste Divers;DELAGE;215;LDV;Liste Divers;LAURELLI;39;LDV;Liste Divers;SANMARTIN;2;LDV;Liste Divers;GARINO;5;LUMP;Liste Union pour un Mouvement Populaire;GROSSETETE;4184;LUDF;Liste Union pour la democratie francaise;CORNILLET;1913;LDD;Liste Divers droite;LOUIS;1183;LDD;Liste Divers droite;LALLOUETTE;0;LDD;Liste Divers droite;MARCHIANI;670;LFN;Liste Front National;LE PEN;2607;LXD;Liste Extreme droite;VAUZELLE;256;;;;;;;;;;;;;;;;;;;;;;;;
4;ALPES DE HAUTE PROVENCE;2;2eme circonscription;57065;29437;27628;1050;26578;LXG;Liste Extreme gauche;VACHETTA;814;LXG;Liste Extreme gauche;MIRGUET;165;LPC;Liste du Parti communiste;GOMEZ;1801;LPS;Liste du Parti socialiste;ROCARD;7712;LVE;Liste des Verts;BENNAHMIAS;2127;LRG;Liste regionaliste;ANTHOINE;0;LCP;Liste Chasse-Peche-Nature et Traditions;VIDAL-DAUMAS;898;LDV;Liste Divers;AUDIC;0;LDV;Liste Divers;GOVERNATORI;507;LDV;Liste Divers;FRAYSSE ;0;LDV;Liste Divers;DELAGE;227;LDV;Liste Divers;LAURELLI;36;LDV;Liste Divers;SANMARTIN;0;LDV;Liste Divers;GARINO;11;LDV;Liste Divers;KERDO;0;LUMP;Liste Union pour un Mouvement Populaire;GROSSETETE;4990;LUDF;Liste Union pour la democratie francaise;CORNILLET;2337;LDD;Liste Divers droite;LOUIS;1528;LDD;Liste Divers droite;LALLOUETTE;0;LDD;Liste Divers droite;MARCHIANI;552;LFN;Liste Front National;LE PEN;2659;LXD;Liste Extreme droite;VAUZELLE;214;;;;;;;;;;;;;;;;;;;;;;;;
5;HAUTES ALPES;1;1ere circonscription;54251;28238;26013;1074;24939;LXG;Liste Extreme gauche;VACHETTA;753;LXG;Liste Extreme gauche;MIRGUET;111;LPC;Liste du Parti communiste;GOMEZ;1195;LPS;Liste du Parti socialiste;ROCARD;8110;LVE;Liste des Verts;BENNAHMIAS;2007;LRG;Liste regionaliste;ANTHOINE;0;LCP;Liste Chasse-Peche-Nature et Traditions;VIDAL-DAUMAS;877;LDV;Liste Divers;AUDIC;0;LDV;Liste Divers;GOVERNATORI;426;LDV;Liste Divers;FRAYSSE ;0;LDV;Liste Divers;DELAGE;346;LDV;Liste Divers;LAURELLI;30;LDV;Liste Divers;SANMARTIN;0;LDV;Liste Divers;GARINO;8;LDV;Liste Divers;KERDO;0;LUMP;Liste Union pour un Mouvement Populaire;GROSSETETE;3879;LUDF;Liste Union pour la democratie francaise;CORNILLET;3088;LDD;Liste Divers droite;LOUIS;1308;LDD;Liste Divers droite;LALLOUETTE;0;LDD;Liste Divers droite;MARCHIANI;433;LFN;Liste Front National;LE PEN;2141;LXD;Liste Extreme droite;VAUZELLE;227;;;;;;;;;;;;;;;;;;;;;;;;
5;HAUTES ALPES;2;2eme circonscription;43458;24201;19257;687;18570;LXG;Liste Extreme gauche;VACHETTA;488;LXG;Liste Extreme gauche;MIRGUET;106;LPC;Liste du Parti communiste;GOMEZ;869;LPS;Liste du Parti socialiste;ROCARD;5532;LVE;Liste des Verts;BENNAHMIAS;1809;LRG;Liste regionaliste;ANTHOINE;0;LCP;Liste Chasse-Peche-Nature et Traditions;VIDAL-DAUMAS;740;LDV;Liste Divers;AUDIC;0;LDV;Liste Divers;GOVERNATORI;310;LDV;Liste Divers;FRAYSSE ;0;LDV;Liste Divers;DELAGE;186;LDV;Liste Divers;LAURELLI;25;LDV;Liste Divers;SANMARTIN;0;LDV;Liste Divers;GARINO;17;LDV;Liste Divers;KERDO;0;LUMP;Liste Union pour un Mouvement Populaire;GROSSETETE;3514;LUDF;Liste Union pour la democratie francaise;CORNILLET;1953;LDD;Liste Divers droite;LOUIS;905;LDD;Liste Divers droite;LALLOUETTE;0;LDD;Liste Divers droite;MARCHIANI;404;LFN;Liste Front National;LE PEN;1550;LXD;Liste Extreme droite;VAUZELLE;162;;;;;;;;;;;;;;;;;;;;;;;;
6;ALPES MARITIMES;1;1ere circonscription;54177;33632;20545;423;20122;LXG;Liste Extreme gauche;VACHETTA;389;LXG;Liste Extreme gauche;MIRGUET;95;LPC;Liste du Parti communiste;GOMEZ;1247;LPS;Liste du Parti socialiste;ROCARD;5632;LVE;Liste des Verts;BENNAHMIAS;1289;LRG;Liste regionaliste;ANTHOINE;8;LCP;Liste Chasse-Peche-Nature et Traditions;VIDAL-DAUMAS;70;LDV;Liste Divers;AUDIC;19;LDV;Liste Divers;GOVERNATORI;456;LDV;Liste Divers;FRAYSSE ;3;LDV;Liste Divers;DELAGE;143;LDV;Liste Divers;LAURELLI;22;LDV;Liste Divers;SANMARTIN;0;LDV;Liste Divers;GARINO;8;LDV;Liste Divers;KERDO;5;LUMP;Liste Union pour un Mouvement Populaire;GROSSETETE;3619;LUDF;Liste Union pour la democratie francaise;CORNILLET;2006;LDD;Liste Divers droite;LOUIS;1228;LDD;Liste Divers droite;LALLOUETTE;5;LDD;Liste Divers droite;MARCHIANI;522;LFN;Liste Front National;LE PEN;3169;LXD;Liste Extreme droite;VAUZELLE;187;;;;;;;;;;;;;;;;;;;;;;;;
6;ALPES MARITIMES;2;2eme circonscription;58250;35952;22298;402;21896;LXG;Liste Extreme gauche;VACHETTA;342;LXG;Liste Extreme gauche;MIRGUET;80;LPC;Liste du Parti communiste;GOMEZ;828;LPS;Liste du Parti socialiste;ROCARD;5954;LVE;Liste des Verts;BENNAHMIAS;1255;LRG;Liste regionaliste;ANTHOINE;2;LCP;Liste Chasse-Peche-Nature et Traditions;VIDAL-DAUMAS;75;LDV;Liste Divers;AUDIC;13;LDV;Liste Divers;GOVERNATORI;341;LDV;Liste Divers;FRAYSSE ;0;LDV;Liste Divers;DELAGE;133;LDV;Liste Divers;LAURELLI;19;LDV;Liste Divers;SANMARTIN;3;LDV;Liste Divers;GARINO;9;LDV;Liste Divers;KERDO;0;LUMP;Liste Union pour un Mouvement Populaire;GROSSETETE;4709;LUDF;Liste Union pour la democratie francaise;CORNILLET;2763;LDD;Liste Divers droite;LOUIS;1563;LDD;Liste Divers droite;LALLOUETTE;0;LDD;Liste Divers droite;MARCHIANI;511;LFN;Liste Front National;LE PEN;3125;LXD;Liste Extreme droite;VAUZELLE;171;;;;;;;;;;;;;;;;;;;;;;;;
6;ALPES MARITIMES;3;3eme circonscription;64797;40979;23818;391;23427;LXG;Liste Extreme gauche;VACHETTA;413;LXG;Liste Extreme gauche;MIRGUET;87;LPC;Liste du Parti communiste;GOMEZ;1363;LPS;Liste du Parti socialiste;ROCARD;6042;LVE;Liste des Verts;BENNAHMIAS;1313;LRG;Liste regionaliste;ANTHOINE;1;LCP;Liste Chasse-Peche-Nature et Traditions;VIDAL-DAUMAS;135;LDV;Liste Divers;AUDIC;3;LDV;Liste Divers;GOVERNATORI;389;LDV;Liste Divers;FRAYSSE ;0;LDV;Liste Divers;DELAGE;141;LDV;Liste Divers;LAURELLI;28;LDV;Liste Divers;SANMARTIN;0;LDV;Liste Divers;GARINO;0;LDV;Liste Divers;KERDO;1;LUMP;Liste Union pour un Mouvement Populaire;GROSSETETE;4657;LUDF;Liste Union pour la democratie francaise;CORNILLET;2972;LDD;Liste Divers droite;LOUIS;1488;LDD;Liste Divers droite;LALLOUETTE;0;LDD;Liste Divers droite;MARCHIANI;565;LFN;Liste Front National;LE PEN;3629;LXD;Liste Extreme droite;VAUZELLE;200;;;;;;;;;;;;;;;;;;;;;;;;
