Code du département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimes;% Exp/Ins;% Exp/Vot;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp
3;ALLIER;4;4ème circonscription;64877;21086;32.5;43791;67.5;2795;4.31;6.38;40996;63.19;93.62;COM;5904;9.1;14.4;RDG;7108;10.96;17.34;MAJ;456;0.7;1.11;VEC;2389;3.68;5.83;DIV;1343;2.07;3.28;UDF;16158;24.91;39.41;DVD;431;0.66;1.05;DVD;165;0.25;0.4;DVD;1576;2.43;3.84;FRN;5466;8.43;13.33;;;;;;;;;;;;;;;;;;;;;;;;
4;ALPES DE HAUTE PROVENCE;1;1ère circonscription;49788;14614;29.35;35174;70.65;2702;5.43;7.68;32472;65.22;92.32;COM;4072;8.18;12.54;SOC;7106;14.27;21.88;VEC;3954;7.94;12.18;DIV;829;1.67;2.55;RPR;12323;24.75;37.95;FRN;4188;8.41;12.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;ALPES DE HAUTE PROVENCE;2;2ème circonscription;51404;14676;28.55;36728;71.45;2330;4.53;6.34;34398;66.92;93.66;COM;4427;8.61;12.87;SOC;3753;7.3;10.91;GEC;3232;6.29;9.4;DIV;1055;2.05;3.07;RPR;13137;25.56;38.19;FRN;5014;9.75;14.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;HAUTES ALPES;1;1ère circonscription;47940;13536;28.24;34404;71.76;1841;3.84;5.35;32563;67.92;94.65;EXG;103;0.21;0.32;COM;2544;5.31;7.81;SOC;8410;17.54;25.83;VEC;2646;5.52;8.13;DIV;364;0.76;1.12;DIV;147;0.31;0.45;DIV;699;1.46;2.15;RPR;8890;18.54;27.3;UDF;5703;11.9;17.51;FRN;3057;6.38;9.39;;;;;;;;;;;;;;;;;;;;;;;;
5;HAUTES ALPES;2;2ème circonscription;37835;11851;31.32;25984;68.68;1721;4.55;6.62;24263;64.13;93.38;COM;2292;6.06;9.45;SOC;2526;6.68;10.41;GEC;1489;3.94;6.14;VEC;1769;4.68;7.29;DIV;550;1.45;2.27;RPR;13073;34.55;53.88;FRN;2564;6.78;10.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;ALPES MARITIMES;1;1ère circonscription;64230;24552;38.23;39678;61.77;1382;2.15;3.48;38296;59.62;96.52;EXG;549;0.85;1.43;COM;4572;7.12;11.94;RDG;4432;6.9;11.57;GEC;2242;3.49;5.85;DIV;1096;1.71;2.86;DIV;122;0.19;0.32;UDF;13667;21.28;35.69;DVD;1030;1.6;2.69;DVD;312;0.49;0.81;FRN;10071;15.68;26.3;EXD;129;0.2;0.34;EXD;74;0.12;0.19;;;;;;;;;;;;;;;;
6;ALPES MARITIMES;2;2ème circonscription;70535;25958;36.8;44577;63.2;1449;2.05;3.25;43128;61.14;96.75;COM;2274;3.22;5.27;SOC;6399;9.07;14.84;VEC;2521;3.57;5.85;DIV;1015;1.44;2.35;DIV;206;0.29;0.48;DIV;307;0.44;0.71;DIV;639;0.91;1.48;RPR;12168;17.25;28.21;DVD;4160;5.9;9.65;FRN;13439;19.05;31.16;;;;;;;;;;;;;;;;;;;;;;;;
6;ALPES MARITIMES;3;3ème circonscription;73399;26193;35.69;47206;64.31;1370;1.87;2.9;45836;62.45;97.1;COM;4217;5.75;9.2;SOC;6943;9.46;15.15;MAJ;458;0.62;1;MAJ;98;0.13;0.21;VEC;2095;2.85;4.57;REG;219;0.3;0.48;DIV;146;0.2;0.32;DIV;739;1.01;1.61;DIV;94;0.13;0.21;DIV;588;0.8;1.28;RPR;8339;11.36;18.19;UDF;9183;12.51;20.03;FRN;12602;17.17;27.49;EXD;115;0.16;0.25;;;;;;;;
6;ALPES MARITIMES;4;4ème circonscription;70562;23754;33.66;46808;66.34;1701;2.41;3.63;45107;63.93;96.37;EXG;348;0.49;0.77;COM;3502;4.96;7.76;SOC;5254;7.45;11.65;MAJ;0;0;0;GEC;3074;4.36;6.81;DIV;1301;1.84;2.88;RPR;13369;18.95;29.64;UDF;9182;13.01;20.36;FRN;9077;12.86;20.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;ALPES MARITIMES;5;5ème circonscription;79071;25314;32.01;53757;67.99;2080;2.63;3.87;51677;65.36;96.13;COM;7293;9.22;14.11;SOC;5532;7;10.7;VEC;3355;4.24;6.49;DIV;1680;2.12;3.25;RPR;12716;16.08;24.61;UDF;9572;12.11;18.52;UDF;1208;1.53;2.34;FRN;10321;13.05;19.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
