Code du département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimes;% Exp/Ins;% Exp/Vot;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp
13;BOUCHES DU RHONE;5;5ème circonscription;53293;22802;42.79;30491;57.21;1047;1.96;3.43;29444;55.25;96.57;EXG;296;0.56;1.01;COM;3486;6.54;11.84;SOC;4020;7.54;13.65;MAJ;524;0.98;1.78;MAJ;145;0.27;0.49;GEC;2136;4.01;7.25;DIV;171;0.32;0.58;DIV;869;1.63;2.95;DIV;40;0.08;0.14;RPR;10613;19.91;36.04;DVD;73;0.14;0.25;FRN;6973;13.08;23.68;EXD;98;0.18;0.33;;;;;;;;;;;;
13;BOUCHES DU RHONE;6;6ème circonscription;63681;25431;39.93;38250;60.07;1278;2.01;3.34;36972;58.06;96.66;COM;3433;5.39;9.29;SOC;3663;5.75;9.91;SOC;3364;5.28;9.1;GEC;2565;4.03;6.94;DIV;100;0.16;0.27;DIV;930;1.46;2.52;UDF;15082;23.68;40.79;DVD;173;0.27;0.47;FRN;7662;12.03;20.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;BOUCHES DU RHONE;7;7ème circonscription;52009;22712;43.67;29297;56.33;1114;2.14;3.8;28183;54.19;96.2;EXG;243;0.47;0.86;EXG;374;0.72;1.33;COM;4825;9.28;17.12;SOC;3808;7.32;13.51;MAJ;2061;3.96;7.31;VEC;1319;2.54;4.68;DIV;961;1.85;3.41;RPR;6553;12.6;23.25;FRN;8039;15.46;28.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;BOUCHES DU RHONE;8;8ème circonscription;62601;25768;41.16;36833;58.84;1448;2.31;3.93;35385;56.52;96.07;EXG;538;0.86;1.52;COM;4426;7.07;12.51;SOC;8045;12.85;22.74;GEC;2492;3.98;7.04;DIV;1197;1.91;3.38;DIV;120;0.19;0.34;RPR;9652;15.42;27.28;FRN;8915;14.24;25.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;BOUCHES DU RHONE;9;9ème circonscription;76471;23462;30.68;53009;69.32;1914;2.5;3.61;51095;66.82;96.39;COM;16259;21.26;31.82;SOC;1452;1.9;2.84;RDG;1830;2.39;3.58;VEC;3011;3.94;5.89;DIV;1554;2.03;3.04;DIV;240;0.31;0.47;DIV;89;0.12;0.17;UDF;15800;20.66;30.92;DVD;1672;2.19;3.27;FRN;9188;12.02;17.98;;;;;;;;;;;;;;;;;;;;;;;;
13;BOUCHES DU RHONE;10;10ème circonscription;96607;28542;29.54;68065;70.46;2757;2.85;4.05;65308;67.6;95.95;EXG;582;0.6;0.89;EXG;396;0.41;0.61;COM;12609;13.05;19.31;RDG;16719;17.31;25.6;MAJ;593;0.61;0.91;GEC;3763;3.9;5.76;DIV;842;0.87;1.29;DIV;379;0.39;0.58;DIV;167;0.17;0.26;RPR;15855;16.41;24.28;DVD;651;0.67;1;DVD;359;0.37;0.55;FRN;12393;12.83;18.98;;;;;;;;;;;;
13;BOUCHES DU RHONE;11;11ème circonscription;104214;33050;31.71;71164;68.29;3517;3.37;4.94;67647;64.91;95.06;COM;4831;4.64;7.14;RDG;13138;12.61;19.42;VEC;7256;6.96;10.73;DIV;266;0.26;0.39;DIV;2210;2.12;3.27;UDF;24388;23.4;36.05;DVD;716;0.69;1.06;FRN;14842;14.24;21.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;BOUCHES DU RHONE;12;12ème circonscription;87063;26173;30.06;60890;69.94;2620;3.01;4.3;58270;66.93;95.7;EXG;1876;2.15;3.22;COM;7277;8.36;12.49;SOC;11282;12.96;19.36;GEC;4914;5.64;8.43;RPR;10686;12.27;18.34;DVD;6194;7.11;10.63;FRN;16041;18.42;27.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;BOUCHES DU RHONE;13;13ème circonscription;73034;21591;29.56;51443;70.44;2319;3.18;4.51;49124;67.26;95.49;EXG;696;0.95;1.42;EXG;410;0.56;0.83;COM;13155;18.01;26.78;SOC;6019;8.24;12.25;VEC;3809;5.22;7.75;DIV;2033;2.78;4.14;UDF;13783;18.87;28.06;DVD;1778;2.43;3.62;FRN;7441;10.19;15.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;BOUCHES DU RHONE;14;14ème circonscription;82427;25312;30.71;57115;69.29;2434;2.95;4.26;54681;66.34;95.74;EXG;458;0.56;0.84;COM;3830;4.65;7;SOC;711;0.86;1.3;SOC;10426;12.65;19.07;VEC;5053;6.13;9.24;REG;556;0.67;1.02;DIV;1449;1.76;2.65;DIV;88;0.11;0.16;RPR;11411;13.84;20.87;UDF;11014;13.36;20.14;DVD;129;0.16;0.24;FRN;9556;11.59;17.48;;;;;;;;;;;;;;;;
13;BOUCHES DU RHONE;15;15ème circonscription;77134;21263;27.57;55871;72.43;3071;3.98;5.5;52800;68.45;94.5;COM;5035;6.53;9.54;SOC;9059;11.74;17.16;VEC;6006;7.79;11.38;DIV;1821;2.36;3.45;RPR;20678;26.81;39.16;FRN;10201;13.23;19.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;BOUCHES DU RHONE;16;16ème circonscription;75343;22878;30.37;52465;69.63;2551;3.39;4.86;49914;66.25;95.14;COM;9445;12.54;18.92;SOC;10119;13.43;20.27;VEC;3749;4.98;7.51;DIV;730;0.97;1.46;DIV;1234;1.64;2.47;DIV;1031;1.37;2.07;DVD;15701;20.84;31.46;FRN;7905;10.49;15.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;CALVADOS;1;1ère circonscription;66215;22492;33.97;43723;66.03;2409;3.64;5.51;41314;62.39;94.49;EXG;1258;1.9;3.04;COM;2480;3.75;6;SOC;7395;11.17;17.9;GEC;4670;7.05;11.3;DIV;655;0.99;1.59;DIV;1985;3;4.8;UDF;18826;28.43;45.57;FRN;4045;6.11;9.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;CALVADOS;2;2ème circonscription;62910;21477;34.14;41433;65.86;2620;4.16;6.32;38813;61.7;93.68;EXG;744;1.18;1.92;EXG;558;0.89;1.44;EXG;261;0.41;0.67;COM;3569;5.67;9.2;SOC;10700;17.01;27.57;VEC;3769;5.99;9.71;DIV;2047;3.25;5.27;DIV;361;0.57;0.93;RPR;10465;16.63;26.96;DVD;2796;4.44;7.2;FRN;3543;5.63;9.13;;;;;;;;;;;;;;;;;;;;
14;CALVADOS;3;3ème circonscription;69076;21737;31.47;47339;68.53;3017;4.37;6.37;44322;64.16;93.63;COM;2907;4.21;6.56;SOC;10251;14.84;23.13;GEC;2287;3.31;5.16;DIV;704;1.02;1.59;DIV;1448;2.1;3.27;DIV;518;0.75;1.17;RPR;16187;23.43;36.52;DVD;4632;6.71;10.45;DVD;529;0.77;1.19;FRN;4859;7.03;10.96;;;;;;;;;;;;;;;;;;;;;;;;
14;CALVADOS;4;4ème circonscription;69234;21359;30.85;47875;69.15;2438;3.52;5.09;45437;65.63;94.91;COM;3184;4.6;7.01;SOC;4757;6.87;10.47;SOC;509;0.74;1.12;MAJ;1249;1.8;2.75;GEC;2806;4.05;6.18;DIV;3037;4.39;6.68;DIV;270;0.39;0.59;RPR;4460;6.44;9.82;UDF;19816;28.62;43.61;DVD;506;0.73;1.11;FRN;4843;7;10.66;;;;;;;;;;;;;;;;;;;;
14;CALVADOS;5;5ème circonscription;84233;26019;30.89;58214;69.11;2877;3.42;4.94;55337;65.7;95.06;COM;3414;4.05;6.17;SOC;9852;11.7;17.8;VEC;5116;6.07;9.25;DIV;399;0.47;0.72;DIV;2363;2.81;4.27;UDF;28728;34.11;51.91;FRN;5465;6.49;9.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;CALVADOS;6;6ème circonscription;77508;20116;25.95;57392;74.05;2750;3.55;4.79;54642;70.5;95.21;COM;2522;3.25;4.62;SOC;17200;22.19;31.48;VEC;3823;4.93;7;DIV;29;0.04;0.05;DIV;2186;2.82;4;UDF;24839;32.05;45.46;FRN;4043;5.22;7.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;CANTAL;1;1ère circonscription;63547;16806;26.45;46741;73.55;2110;3.32;4.51;44631;70.23;95.49;COM;2785;4.38;6.24;SOC;10024;15.77;22.46;MAJ;5246;8.26;11.75;GEC;871;1.37;1.95;VEC;1114;1.75;2.5;UDF;14918;23.48;33.43;DVD;8125;12.79;18.2;FRN;1548;2.44;3.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;CANTAL;2;2ème circonscription;62271;19256;30.92;43015;69.08;2228;3.58;5.18;40787;65.5;94.82;COM;2210;3.55;5.42;SOC;3303;5.3;8.1;MAJ;4414;7.09;10.82;VEC;2028;3.26;4.97;RPR;26478;42.52;64.92;FRN;2354;3.78;5.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;CHARENTE;1;1ère circonscription;61418;20952;34.11;40466;65.89;2921;4.76;7.22;37545;61.13;92.78;EXG;1136;1.85;3.03;COM;2767;4.51;7.37;SOC;6626;10.79;17.65;VEC;3245;5.28;8.64;DIV;1538;2.5;4.1;UDF;17711;28.84;47.17;DVD;1001;1.63;2.67;FRN;3521;5.73;9.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;CHARENTE;2;2ème circonscription;60676;20374;33.58;40302;66.42;2686;4.43;6.66;37616;61.99;93.34;EXG;1016;1.67;2.7;COM;2501;4.12;6.65;SOC;6309;10.4;16.77;GEC;2186;3.6;5.81;DIV;1054;1.74;2.8;DIV;908;1.5;2.41;RPR;18411;30.34;48.94;DVD;2311;3.81;6.14;FRN;2920;4.81;7.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;CHARENTE;3;3ème circonscription;70666;20642;29.21;50024;70.79;3801;5.38;7.6;46223;65.41;92.4;EXG;2348;3.32;5.08;COM;4362;6.17;9.44;SOC;11600;16.42;25.1;VEC;3193;4.52;6.91;DIV;0;0;0;RPR;13262;18.77;28.69;UDF;8007;11.33;17.32;FRN;3451;4.88;7.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;CHARENTE;4;4ème circonscription;60614;19614;32.36;41000;67.64;3276;5.4;7.99;37724;62.24;92.01;EXG;1876;3.09;4.97;EXG;744;1.23;1.97;COM;2866;4.73;7.6;SOC;8053;13.29;21.35;GEC;2044;3.37;5.42;DIV;1214;2;3.22;RPR;9340;15.41;24.76;UDF;3433;5.66;9.1;DVD;2337;3.86;6.19;DVD;1146;1.89;3.04;DVD;1315;2.17;3.49;DVD;522;0.86;1.38;FRN;2834;4.68;7.51;;;;;;;;;;;;
17;CHARENTE MARITIME;1;1ère circonscription;78301;26181;33.44;52120;66.56;2187;2.79;4.2;49933;63.77;95.8;EXG;537;0.69;1.08;EXG;617;0.79;1.24;COM;3626;4.63;7.26;RDG;14449;18.45;28.94;GEC;2744;3.5;5.5;VEC;1513;1.93;3.03;DIV;988;1.26;1.98;DIV;159;0.2;0.32;RPR;17502;22.35;35.05;DVD;3307;4.22;6.62;FRN;4491;5.74;8.99;;;;;;;;;;;;;;;;;;;;
17;CHARENTE MARITIME;2;2ème circonscription;74490;26361;35.39;48129;64.61;3132;4.2;6.51;44997;60.41;93.49;COM;3752;5.04;8.34;MAJ;7569;10.16;16.82;MAJ;2494;3.35;5.54;VEC;3349;4.5;7.44;DIV;2023;2.72;4.5;DIV;231;0.31;0.51;UDF;20542;27.58;45.65;FRN;5037;6.76;11.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;CHARENTE MARITIME;3;3ème circonscription;76168;24055;31.58;52113;68.42;2881;3.78;5.53;49232;64.64;94.47;COM;3854;5.06;7.83;SOC;15335;20.13;31.15;VEC;3263;4.28;6.63;DIV;1981;2.6;4.02;UDF;20699;27.18;42.04;FRN;4100;5.38;8.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;CHARENTE MARITIME;4;4ème circonscription;79634;26120;32.8;53514;67.2;3890;4.88;7.27;49624;62.32;92.73;COM;3428;4.3;6.91;MAJ;11353;14.26;22.88;VEC;3358;4.22;6.77;DIV;2257;2.83;4.55;UDF;23667;29.72;47.69;FRN;5561;6.98;11.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;CHARENTE MARITIME;5;5ème circonscription;81100;27558;33.98;53542;66.02;3390;4.18;6.33;50152;61.84;93.67;COM;3460;4.27;6.9;SOC;8305;10.24;16.56;GEC;4348;5.36;8.67;DIV;1935;2.39;3.86;RPR;22385;27.6;44.63;DVD;3146;3.88;6.27;FRN;6573;8.1;13.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;CHER;1;1ère circonscription;74074;22474;30.34;51600;69.66;2788;3.76;5.4;48812;65.9;94.6;EXG;1421;1.92;2.91;COM;7716;10.42;15.81;SOC;4950;6.68;10.14;VEC;2866;3.87;5.87;UDF;24187;32.65;49.55;DVD;243;0.33;0.5;DVD;1410;1.9;2.89;FRN;6019;8.13;12.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;CHER;2;2ème circonscription;68335;22182;32.46;46153;67.54;2578;3.77;5.59;43575;63.77;94.41;EXG;1150;1.68;2.64;EXG;699;1.02;1.6;COM;12304;18.01;28.24;SOC;2221;3.25;5.1;MAJ;911;1.33;2.09;GEC;4128;6.04;9.47;UDF;3093;4.53;7.1;UDF;12286;17.98;28.2;DVD;1394;2.04;3.2;FRN;5389;7.89;12.37;;;;;;;;;;;;;;;;;;;;;;;;
18;CHER;3;3ème circonscription;84807;25990;30.65;58817;69.35;3374;3.98;5.74;55443;65.38;94.26;EXG;1745;2.06;3.15;COM;7742;9.13;13.96;MAJ;11303;13.33;20.39;GEC;3952;4.66;7.13;RPR;19044;22.46;34.35;DVD;4208;4.96;7.59;DVD;1599;1.89;2.88;FRN;5850;6.9;10.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;CORREZE;1;1ère circonscription;66011;14211;21.53;51800;78.47;2556;3.87;4.93;49244;74.6;95.07;COM;9765;14.79;19.83;SOC;12835;19.44;26.06;VEC;1583;2.4;3.21;DIV;910;1.38;1.85;RPR;22307;33.79;45.3;FRN;1844;2.79;3.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;CORREZE;2;2ème circonscription;63229;15620;24.7;47609;75.3;2716;4.3;5.7;44893;71;94.3;COM;5085;8.04;11.33;SOC;8172;12.92;18.2;GEC;2476;3.92;5.52;DIV;1413;2.23;3.15;RPR;17465;27.62;38.9;FRN;2999;4.74;6.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;CORREZE;3;3ème circonscription;55701;11100;19.93;44601;80.07;1837;3.3;4.12;42764;76.77;95.88;COM;6700;12.03;15.67;SOC;6686;12;15.63;VEC;1428;2.56;3.34;DIV;670;1.2;1.57;RPR;25951;46.59;60.68;FRN;1329;2.39;3.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2A;CORSE SUD;1;1ère circonscription;34767;11884;34.18;22883;65.82;797;2.29;3.48;22086;63.53;96.52;COM;1733;4.98;7.85;SOC;937;2.7;4.24;REG;2416;6.95;10.94;REG;860;2.47;3.89;REG;2492;7.17;11.28;DIV;462;1.33;2.09;UDF;7888;22.69;35.71;DVD;3875;11.15;17.55;FRN;1423;4.09;6.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2A;CORSE SUD;2;2ème circonscription;39363;12460;31.65;26903;68.35;922;2.34;3.43;25981;66;96.57;COM;3276;8.32;12.61;SOC;1182;3;4.55;REG;979;2.49;3.77;REG;1815;4.61;6.99;REG;2702;6.86;10.4;DIV;500;1.27;1.92;RPR;10561;26.83;40.65;DVD;3495;8.88;13.45;DVD;167;0.42;0.64;FRN;1304;3.31;5.02;;;;;;;;;;;;;;;;;;;;;;;;
2B;HAUTE CORSE;1;1ère circonscription;40458;12610;31.17;27848;68.83;817;2.02;2.93;27031;66.81;97.07;COM;2189;5.41;8.1;RDG;7485;18.5;27.69;REG;761;1.88;2.82;REG;3884;9.6;14.37;DIV;523;1.29;1.93;UDF;9313;23.02;34.45;DVD;1775;4.39;6.57;FRN;1101;2.72;4.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2B;HAUTE CORSE;2;2ème circonscription;50502;15596;30.88;34906;69.12;670;1.33;1.92;34236;67.79;98.08;COM;1658;3.28;4.84;SOC;2244;4.44;6.55;RDG;4327;8.57;12.64;REG;1298;2.57;3.79;REG;5538;10.97;16.18;REG;188;0.37;0.55;DIV;121;0.24;0.35;DIV;369;0.73;1.08;RPR;8097;16.03;23.65;DVD;3088;6.11;9.02;DVD;6309;12.49;18.43;FRN;999;1.98;2.92;;;;;;;;;;;;;;;;
21;COTE D'OR;1;1ère circonscription;60922;18757;30.79;42165;69.21;2340;3.84;5.55;39825;65.37;94.45;EXG;458;0.75;1.15;EXG;527;0.87;1.32;EXG;534;0.88;1.34;COM;1426;2.34;3.58;SOC;7109;11.67;17.85;VEC;4108;6.74;10.32;DIV;1141;1.87;2.87;DIV;4;0.01;0.01;RPR;20201;33.16;50.72;FRN;4317;7.09;10.84;;;;;;;;;;;;;;;;;;;;;;;;
21;COTE D'OR;2;2ème circonscription;56495;18830;33.33;37665;66.67;2185;3.87;5.8;35480;62.8;94.2;EXG;859;1.52;2.42;COM;2155;3.81;6.07;SOC;6353;11.25;17.91;GEC;3356;5.94;9.46;DIV;1277;2.26;3.6;RPR;16742;29.63;47.19;FRN;4738;8.39;13.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;COTE D'OR;3;3ème circonscription;59971;20549;34.26;39422;65.74;2139;3.57;5.43;37283;62.17;94.57;EXG;572;0.95;1.53;EXG;495;0.83;1.33;COM;1917;3.2;5.14;SOC;11076;18.47;29.71;VEC;2884;4.81;7.74;DIV;1448;2.41;3.88;DVD;14070;23.46;37.74;FRN;4821;8.04;12.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;COTE D'OR;4;4ème circonscription;68172;21970;32.23;46202;67.77;3101;4.55;6.71;43101;63.22;93.29;EXG;1103;1.62;2.56;COM;3535;5.19;8.2;RDG;6643;9.74;15.41;GEC;2695;3.95;6.25;DIV;2273;3.33;5.27;DIV;1401;2.06;3.25;UDF;19120;28.05;44.36;FRN;5211;7.64;12.09;EXD;1120;1.64;2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;COTE D'OR;5;5ème circonscription;74198;24213;32.63;49985;67.37;2583;3.48;5.17;47402;63.89;94.83;COM;2163;2.92;4.56;SOC;13947;18.8;29.42;VEC;2784;3.75;5.87;DIV;1487;2;3.14;RPR;19625;26.45;41.4;DVD;539;0.73;1.14;FRN;6455;8.7;13.62;EXD;402;0.54;0.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;COTES D'ARMOR;1;1ère circonscription;81427;24511;30.1;56916;69.9;2940;3.61;5.17;53976;66.29;94.83;EXG;679;0.83;1.26;EXG;1039;1.28;1.92;COM;6977;8.57;12.93;SOC;11375;13.97;21.07;MAJ;307;0.38;0.57;VEC;5526;6.79;10.24;REG;55;0.07;0.1;DIV;1643;2.02;3.04;RPR;19280;23.68;35.72;DVD;2336;2.87;4.33;DVD;948;1.16;1.76;FRN;3811;4.68;7.06;;;;;;;;;;;;;;;;
22;COTES D'ARMOR;2;2ème circonscription;81917;19758;24.12;62159;75.88;3174;3.87;5.11;58985;72.01;94.89;COM;3340;4.08;5.66;SOC;22028;26.89;37.35;GEC;4393;5.36;7.45;DIV;1633;1.99;2.77;UDF;23545;28.74;39.92;FRN;4046;4.94;6.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;COTES D'ARMOR;3;3ème circonscription;82005;19711;24.04;62294;75.96;2901;3.54;4.66;59393;72.43;95.34;COM;3548;4.33;5.97;SOC;19232;23.45;32.38;VEC;3562;4.34;6;DIV;1457;1.78;2.45;RPR;16530;20.16;27.83;UDF;12129;14.79;20.42;FRN;2935;3.58;4.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;COTES D'ARMOR;4;4ème circonscription;79950;19105;23.9;60845;76.1;2534;3.17;4.16;58311;72.93;95.84;COM;15771;19.73;27.05;SOC;10294;12.88;17.65;VEC;3765;4.71;6.46;REG;161;0.2;0.28;DIV;1398;1.75;2.4;UDF;9249;11.57;15.86;DVD;13834;17.3;23.72;DVD;935;1.17;1.6;FRN;2904;3.63;4.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;COTES D'ARMOR;5;5ème circonscription;92911;26383;28.4;66528;71.6;2802;3.02;4.21;63726;68.59;95.79;EXG;1263;1.36;1.98;COM;4622;4.97;7.25;SOC;18649;20.07;29.26;GEC;4494;4.84;7.05;DIV;1345;1.45;2.11;DIV;1276;1.37;2;UDF;26473;28.49;41.54;DVD;986;1.06;1.55;FRN;4618;4.97;7.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;CREUSE;1;1ère circonscription;53815;17512;32.54;36303;67.46;2081;3.87;5.73;34222;63.59;94.27;EXG;1414;2.63;4.13;COM;4192;7.79;12.25;SOC;8736;16.23;25.53;GEC;1541;2.86;4.5;DIV;821;1.53;2.4;RPR;8139;15.12;23.78;UDF;7384;13.72;21.58;FRN;1995;3.71;5.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;CREUSE;2;2ème circonscription;53946;15407;28.56;38539;71.44;2101;3.89;5.45;36438;67.55;94.55;EXG;949;1.76;2.6;COM;2648;4.91;7.27;SOC;8971;16.63;24.62;VEC;1417;2.63;3.89;DIV;0;0;0;DIV;659;1.22;1.81;RPR;9471;17.56;25.99;DVD;10546;19.55;28.94;FRN;1777;3.29;4.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;DORDOGNE;1;1ère circonscription;73612;19631;26.67;53981;73.33;3933;5.34;7.29;50048;67.99;92.71;COM;6917;9.4;13.82;SOC;1066;1.45;2.13;SOC;10761;14.62;21.5;GEC;3390;4.61;6.77;DIV;1374;1.87;2.75;RPR;21563;29.29;43.08;DVD;1715;2.33;3.43;FRN;3262;4.43;6.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;DORDOGNE;2;2ème circonscription;76611;21147;27.6;55464;72.4;3741;4.88;6.74;51723;67.51;93.26;EXG;884;1.15;1.71;COM;4548;5.94;8.79;SOC;6978;9.11;13.49;SOC;4879;6.37;9.43;VEC;3438;4.49;6.65;DIV;4272;5.58;8.26;DIV;716;0.93;1.38;DIV;1137;1.48;2.2;RPR;7446;9.72;14.4;UDF;12729;16.62;24.61;FRN;4375;5.71;8.46;EXD;321;0.42;0.62;;;;;;;;;;;;;;;;
24;DORDOGNE;3;3ème circonscription;73334;16243;22.15;57091;77.85;3832;5.23;6.71;53259;72.63;93.29;COM;12983;17.7;24.38;SOC;1066;1.45;2;SOC;9136;12.46;17.15;GEC;2579;3.52;4.84;DIV;576;0.79;1.08;RPR;18323;24.99;34.4;UDF;5425;7.4;10.19;FRN;3171;4.32;5.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;DORDOGNE;4;4ème circonscription;82468;21264;25.78;61204;74.22;3784;4.59;6.18;57420;69.63;93.82;COM;9901;12.01;17.24;SOC;12956;15.71;22.56;SOC;778;0.94;1.35;MAJ;1172;1.42;2.04;GEC;3773;4.58;6.57;DIV;400;0.49;0.7;RPR;24879;30.17;43.33;FRN;3561;4.32;6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;DOUBS;1;1ère circonscription;58977;17182;29.13;41795;70.87;2273;3.85;5.44;39522;67.01;94.56;EXG;2118;3.59;5.36;EXG;696;1.18;1.76;COM;1376;2.33;3.48;SOC;9722;16.48;24.6;MAJ;31;0.05;0.08;VEC;3193;5.41;8.08;DIV;1023;1.73;2.59;DIV;171;0.29;0.43;RPR;16151;27.39;40.87;DVD;410;0.7;1.04;FRN;4631;7.85;11.72;;;;;;;;;;;;;;;;;;;;
25;DOUBS;2;2ème circonscription;65245;19436;29.79;45809;70.21;2768;4.24;6.04;43041;65.97;93.96;EXG;1320;2.02;3.07;EXG;909;1.39;2.11;COM;1622;2.49;3.77;SOC;9107;13.96;21.16;GEC;3443;5.28;8;DIV;897;1.37;2.08;DIV;900;1.38;2.09;UDF;18695;28.65;43.44;DVD;841;1.29;1.95;FRN;5307;8.13;12.33;;;;;;;;;;;;;;;;;;;;;;;;
25;DOUBS;3;3ème circonscription;62856;18447;29.35;44409;70.65;2614;4.16;5.89;41795;66.49;94.11;EXG;1101;1.75;2.63;EXG;1159;1.84;2.77;COM;1248;1.99;2.99;SOC;9276;14.76;22.19;GEC;3190;5.08;7.63;DIV;1179;1.88;2.82;RPR;11648;18.53;27.87;UDF;8358;13.3;20;FRN;4636;7.38;11.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;DOUBS;4;4ème circonscription;64765;20516;31.68;44249;68.32;2765;4.27;6.25;41484;64.05;93.75;EXG;4934;7.62;11.89;EXG;913;1.41;2.2;EXG;2896;4.47;6.98;COM;1332;2.06;3.21;SOC;8012;12.37;19.31;MAJ;126;0.19;0.3;DIV;1685;2.6;4.06;RPR;15837;24.45;38.18;FRN;5749;8.88;13.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;DOUBS;5;5ème circonscription;65721;18105;27.55;47616;72.45;3554;5.41;7.46;44062;67.04;92.54;EXG;1395;2.12;3.17;EXG;766;1.17;1.74;COM;1378;2.1;3.13;SOC;6271;9.54;14.23;MAJ;723;1.1;1.64;VEC;3334;5.07;7.57;DIV;1270;1.93;2.88;RPR;23887;36.35;54.21;FRN;5038;7.67;11.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;DROME;1;1ère circonscription;65191;21430;32.87;43761;67.13;2028;3.11;4.63;41733;64.02;95.37;EXG;801;1.23;1.92;COM;2506;3.84;6;SOC;9799;15.03;23.48;GEC;4604;7.06;11.03;DIV;308;0.47;0.74;RPR;17083;26.2;40.93;DVD;665;1.02;1.59;FRN;5603;8.59;13.43;EXD;364;0.56;0.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;DROME;2;2ème circonscription;66873;20046;29.98;46827;70.02;3005;4.49;6.42;43822;65.53;93.58;COM;3885;5.81;8.87;SOC;10555;15.78;24.09;VEC;5718;8.55;13.05;UDF;15605;23.34;35.61;DVD;1471;2.2;3.36;FRN;6588;9.85;15.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
